title,director,gross
Naito obu za ribingu deddo: Zonbi no tanjﾃｴ,George A. Romero,"89,029"
Puran 9 furomu autﾃ｢ supﾃｪsu,Edward D. Wood Jr.,
The Little Shop of Horrors,Roger Corman,"1,400,000"
House on Haunted Hill,William Castle,
Scarlet Street,Fritz Lang,
Chaplin no ﾃ波onkyﾃｴ Jidai,Charles Chaplin,"5,450,000"
Detour,Edgar G. Ulmer,"16,172"
Il boia scarlatto,Massimo Pupillo,
Woman on the Run,Norman Foster,
The Man from the Alamo,Budd Boetticher,
The Wasp Woman,Roger Corman,
Furankenshutain: musume no fukushu,Mel Welles,
Voyage to the Planet of Prehistoric Women,Peter Bogdanovich,
Smash-Up: The Story of a Woman,Stuart Heisler,
"20,000 Leagues Under the Sea",Stuart Paton,"8,000,000"
The Fat Man,William Castle,
Borderline,William A. Seiter,
The Flying Deuces,A. Edward Sutherland,
The Sleeping City,George Sherman,
Abraham Lincoln,D.W. Griffith,
Letter of Introduction,John M. Stahl,
The Death Kiss,Edwin L. Marin,
"Salome, Where She Danced",Charles Lamont,
Red Sundown,Jack Arnold,
The Midnight Story,Joseph Pevney,
The Rage of Paris,Henry Koster,
Baby Needs a New Pair of Shoes,Bill Brame,
Kid Dynamite,Wallace Fox,
Kidnapped,William Beaudine,
Doctor's Orders,Norman Lee,